what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1314599353065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314599356729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599360433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599360501
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314599362202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599362579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599371513
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314599372799
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599373918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599377271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599383094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599383192
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314599383955
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314599384418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599384844
